fid,2020-07-31,2020-08-07,2020-08-14,2020-08-21,2020-08-28,2020-09-04,2020-09-11,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-10-16,2020-10-23,2020-10-30,2020-11-06,2020-11-13,2020-11-20,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2020-12-25,2021-01-01,2021-01-08
0,47.9,44.7,47.9,48.0,48.0,45.4,38.0,34.7,33.3,36.0,36.6,35.6,45.4,49.3,42.7,48.0,48.0,48.0,45.9,47.9,47.4,47.9,48.0,47.7
1,29.6,37.0,37.0,37.0,37.0,37.0,31.7,37.0,37.0,32.7,31.7,37.0,26.3,22.0,22.0,22.0,22.0,17.1,9.6,14.9,5.0,6.4,6.7,5.0
2,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
3,21.1,21.0,23.0,23.7,25.9,27.1,22.9,20.3,24.0,26.2,21.0,21.9,25.6,31.7,31.4,35.6,41.1,44.1,43.9,41.7,43.4,42.6,42.1,42.4
150,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,65.0,65.0,65.0
193,,,,,,,,,,,,,,,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
620,32.0,30.3,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,27.7,32.0,32.0
751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
757,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
758,431.4,431.6,432.0,432.0,428.3,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,410.1,418.7,414.6,410.7,409.6,410.9,411.9
759,905.0,896.1,890.4,897.0,886.0,886.0,895.4,876.7,895.3,904.6,895.6,905.0,858.1,807.0,807.0,807.0,807.0,807.0,807.0,807.0,807.0,807.0,807.0,807.0
760,17.0,16.7,17.0,17.4,17.1,27.0,27.0,27.0,27.0,27.0,27.7,28.4,25.8,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
761,220.9,219.9,218.0,218.7,219.4,222.0,217.4,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.1,206.0,206.0
762,237.0,238.5,230.3,232.9,231.7,223.3,225.2,220.8,222.3,232.8,227.4,234.6,204.6,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0
763,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
764,256.0,275.3,264.9,243.1,243.4,248.3,266.1,263.6,257.0,252.6,255.0,257.0,256.0,155.0,148.3,158.6,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
765,233.7,233.7,232.6,234.0,234.0,234.0,234.0,233.3,236.9,234.0,233.4,234.0,217.3,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
766,228.7,228.3,228.0,228.0,228.0,228.0,227.7,226.6,227.7,228.1,228.0,228.0,211.9,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0
767,164.0,164.0,165.4,164.0,164.0,164.0,163.4,158.9,154.6,157.7,162.3,164.0,153.1,83.9,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
768,713.0,721.0,717.0,718.3,729.6,717.3,724.4,711.1,709.4,708.9,708.4,703.7,677.6,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0
769,219.0,219.0,219.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0,216.0
770,173.0,163.0,164.4,163.0,163.0,163.0,164.4,161.6,163.0,163.0,163.0,163.0,140.4,84.0,84.0,87.4,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
771,45.0,45.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,53.4,52.0,45.6,43.0,43.0,43.0,44.7
772,599.3,543.1,524.9,487.7,470.1,435.9,439.4,439.4,433.9,430.3,765.5,438.6,384.1,357.6,385.3,369.4,279.4,295.9,300.7,310.4,309.1,307.1,322.1,346.3
773,175.7,183.0,172.1,177.9,167.4,158.9,137.0,155.4,139.4,152.3,177.6,159.7,160.9,144.6,143.0,151.4,149.1,154.3,157.4,155.0,155.3,163.1,152.4,161.1
774,311.3,311.1,310.3,310.3,304.7,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0
775,162.9,165.6,170.0,151.1,136.6,141.0,159.7,161.1,167.9,158.7,163.4,146.7,150.3,108.0,106.6,95.0,88.1,79.0,87.1,89.4,78.0,69.3,91.6,88.1
776,301.9,285.3,285.3,289.6,285.7,305.7,309.1,306.6,311.9,305.7,297.7,293.7,288.0,198.0,218.1,218.6,193.6,193.1,201.7,202.7,208.0,192.6,224.7,212.6
777,744.0,741.9,743.6,741.6,720.7,592.0,579.4,548.0,548.0,548.0,537.7,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0
778,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
779,161.0,162.4,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,167.7,169.0,169.0,169.0,169.0,169.0,170.7,171.0,171.0,164.1,159.0,155.0,145.9,147.0
780,234.0,221.3,220.3,224.9,218.7,221.3,221.1,217.0,215.0,211.0,213.6,225.6,212.7,123.0,135.7,143.4,137.6,146.4,168.7,162.0,171.4,155.9,165.4,169.4
781,333.0,333.7,332.0,315.3,333.0,332.0,333.3,334.4,332.3,336.1,336.6,332.0,317.4,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0
782,461.4,442.1,443.6,456.6,452.3,458.7,455.4,444.9,432.9,428.3,432.3,439.6,454.0,266.7,341.9,336.9,287.3,264.0,283.9,284.9,258.7,265.9,286.9,321.7
783,283.0,282.7,282.1,283.0,283.9,289.0,287.9,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0
