fid,2020-07-31,2020-08-07,2020-08-14,2020-08-21,2020-08-28,2020-09-04,2020-09-11,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-10-16,2020-10-23,2020-10-30,2020-11-06,2020-11-13,2020-11-20,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2020-12-25,2021-01-01,2021-01-08
0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0
2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0
150,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
620,,5.9,,,,,,,,,,,,,,,4.1,,5.7,6.4,8.6,14.0,14.9,15.1
751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
757,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
758,57.1,49.0,56.3,48.4,33.0,34.7,35.1,29.6,27.9,21.6,29.4,25.3,23.9,27.7,31.0,32.3,36.3,47.7,41.7,44.3,60.7,63.0,77.9,83.3
759,73.9,67.9,63.4,62.4,51.4,49.0,48.7,38.6,39.3,27.1,22.9,27.0,29.6,30.9,31.9,42.6,50.9,56.9,50.9,62.9,72.1,101.7,127.0,146.4
760,,,,,,,,,,,,5.6,,,,,,,,7.3,,,,
761,42.4,43.4,40.9,40.0,16.7,14.1,13.1,16.1,14.1,12.4,7.7,8.9,9.4,6.7,10.0,16.4,17.0,21.6,22.4,35.9,43.4,51.6,53.3,46.3
762,35.1,28.5,18.6,24.0,13.8,13.5,11.0,8.3,6.8,6.3,6.0,10.0,9.4,7.6,7.1,8.4,13.1,10.0,11.7,20.6,26.1,27.6,28.3,30.0
763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764,30.4,36.9,28.7,19.1,15.4,16.6,15.3,11.8,13.8,17.0,12.5,11.3,8.0,21.3,9.5,15.6,10.6,14.9,14.6,10.1,12.7,21.6,32.7,31.6
765,,,5.3,7.3,10.9,10.4,5.0,6.4,7.4,7.3,11.3,7.4,6.0,5.7,,4.1,,8.6,5.4,7.1,6.6,4.4,12.1,16.6
766,14.1,13.8,13.0,8.3,9.7,9.0,11.4,6.1,14.9,15.6,16.7,16.6,16.1,12.6,8.1,7.3,8.4,11.9,11.3,14.9,13.1,12.0,21.6,23.4
767,8.1,10.6,9.6,7.0,4.7,5.0,,,,,4.1,,,7.0,9.6,7.6,8.4,4.6,5.6,11.1,11.3,14.1,12.7,11.9
768,54.6,43.0,54.7,57.9,51.0,34.6,20.0,15.6,20.4,26.3,21.4,19.7,26.1,25.7,33.0,28.3,30.6,26.0,21.0,28.1,32.4,30.9,45.6,52.3
769,10.9,9.4,7.4,,,,,5.4,6.9,5.1,7.6,8.0,6.4,4.6,5.7,10.0,7.4,9.7,13.6,8.1,10.7,8.1,11.0,16.9
770,,0.0,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,,,,,
771,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,,5.9,7.9,7.3,0.0,0.0,0.0,0.0,,
772,158.7,142.0,121.1,92.9,78.4,66.6,58.3,54.9,43.0,41.1,35.8,36.7,33.6,31.4,41.6,38.7,44.9,57.4,56.0,63.7,76.0,80.6,94.9,106.1
773,82.4,91.9,74.9,63.9,45.3,36.6,25.4,21.6,16.1,14.6,12.9,10.4,14.6,19.4,26.3,29.1,28.9,36.9,45.9,47.9,57.0,59.1,52.4,54.3
774,41.6,31.7,31.3,29.4,18.6,10.0,6.0,5.7,6.3,14.3,10.3,8.9,7.9,5.6,6.1,7.3,11.6,8.7,10.3,17.9,24.9,28.6,27.4,27.7
775,25.7,21.6,19.9,12.0,8.9,8.1,6.0,,,,4.9,,,5.0,4.6,6.7,13.9,13.0,15.7,14.7,10.0,14.9,18.0,18.4
776,73.3,57.7,46.0,42.6,28.0,22.3,14.3,10.1,8.0,7.9,6.6,10.0,9.4,7.7,12.6,11.7,16.4,13.6,11.0,18.0,20.9,20.6,23.6,33.4
777,92.1,85.7,65.6,45.6,27.1,22.0,15.6,17.7,17.1,18.9,12.1,9.9,10.1,16.6,24.1,27.0,28.1,31.1,41.1,56.0,63.1,67.7,72.6,80.3
778,68.7,55.7,44.7,31.1,21.6,16.3,13.0,8.6,,4.3,7.3,7.3,7.0,14.3,15.4,18.3,20.4,18.1,20.6,28.9,39.6,37.0,33.9,41.0
779,,8.0,5.6,,,,,0.0,0.0,0.0,0.0,0.0,0.0,6.7,,0.0,,,,,,,,
780,58.0,47.6,34.7,32.7,25.9,17.3,13.1,10.9,14.3,9.7,7.9,11.3,13.0,19.6,25.6,22.9,26.7,26.6,35.3,34.6,24.0,29.1,33.6,43.4
781,39.4,32.3,24.9,20.3,15.0,11.7,10.3,7.0,8.0,9.0,8.6,8.6,8.9,12.8,13.7,14.7,21.6,25.9,29.1,33.7,33.9,37.3,39.9,41.1
782,68.1,51.6,37.3,35.4,24.1,21.4,13.6,14.3,10.3,8.9,10.7,9.7,10.6,9.3,13.0,15.4,12.9,12.6,19.4,21.7,22.7,26.0,31.6,37.6
783,53.1,46.7,34.3,23.0,11.0,11.3,6.9,6.0,5.9,,5.0,8.0,8.1,12.9,11.1,15.9,17.7,17.3,16.0,36.1,31.1,27.6,34.9,42.4
784,66.4,57.0,49.6,38.9,33.9,26.4,21.0,16.9,19.7,17.3,13.6,18.1,19.3,28.4,26.1,24.0,26.9,31.6,33.4,36.7,40.9,38.4,38.6,34.6
785,93.3,140.4,113.7,97.9,101.4,83.6,73.7,64.4,51.9,54.1,48.7,41.1,44.6,44.4,41.0,50.0,48.3,54.3,58.0,61.9,60.3,66.1,79.0,87.9
786,59.0,42.6,30.6,24.3,13.6,8.8,4.9,4.0,5.1,7.7,7.2,6.4,9.7,10.6,14.9,15.9,21.0,21.4,20.4,20.0,25.4,30.3,29.7,25.6
787,,,0.0,,,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,,,,,,,
788,26.3,19.9,22.7,27.6,15.3,9.0,12.6,11.3,13.0,14.7,11.0,17.0,19.3,19.1,24.1,28.0,21.9,31.7,44.0,44.9,52.7,56.4,47.6,42.1
789,7.1,,,,,,,,,,,,,6.6,8.0,8.1,9.3,8.4,12.3,7.0,8.4,13.0,15.7,12.1
790,15.6,17.0,19.1,13.0,18.1,17.9,14.3,16.4,10.7,8.0,7.9,10.0,13.0,9.2,10.7,8.7,9.6,21.3,25.6,31.4,27.9,31.6,33.0,32.6
791,14.0,20.3,21.7,19.4,19.7,13.9,9.7,18.3,16.3,10.0,6.1,8.4,7.7,7.0,13.0,23.7,37.1,42.6,40.3,33.1,28.9,20.7,30.0,31.6
792,9.6,10.1,10.6,10.3,5.3,4.0,,,,,5.6,10.0,12.7,13.4,16.7,17.6,20.4,16.0,15.4,16.9,13.9,17.7,25.6,21.3
