fid,2020-07-31,2020-08-07,2020-08-14,2020-08-21,2020-08-28,2020-09-04,2020-09-11,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-10-16,2020-10-23,2020-10-30,2020-11-06,2020-11-13,2020-11-20,2020-11-27,2020-12-04,2020-12-11,2020-12-18,2020-12-25,2021-01-01,2021-01-08
0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0
2,14.7,19.9,15.9,10.6,10.7,9.0,9.0,5.9,4.9,4.1,6.3,9.6,9.6,18.4,20.3,17.4,12.4,16.6,19.9,29.9,34.8,40.1,38.9,40.4
3,27.3,27.9,20.3,14.6,13.3,6.4,,6.3,6.9,6.4,5.7,,,,7.3,12.7,21.1,21.7,19.0,16.7,17.7,23.0,32.7,35.1
4,25.4,26.3,25.6,20.6,15.1,11.3,10.6,12.0,12.6,14.8,14.6,13.4,10.7,6.9,8.3,14.7,19.3,25.4,28.4,31.1,28.3,37.3,46.7,43.0
5,8.3,6.1,7.9,4.7,,5.0,4.1,6.1,,,5.9,5.4,,,,,,5.1,4.0,6.7,10.4,11.6,13.7,19.9
6,,,,,,4.1,,,6.7,,4.8,4.9,5.4,,4.3,,,,,,7.0,9.1,13.4,12.9
7,15.7,15.4,7.7,7.1,10.6,,,,,,,0.0,,,0.0,,,,,,,,,4.6
8,5.3,5.5,7.0,9.0,6.4,,,,,,,,0.0,,5.9,,,6.0,12.4,11.1,11.6,12.6,12.7,7.0
9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0
10,5.7,4.3,,,,,,,,,,,,0.0,,,,,,6.2,7.1,5.0,6.0,8.7
11,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4.0,5.0,5.7,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
13,48.6,44.4,33.0,24.1,24.1,25.9,28.1,29.4,21.7,19.4,26.1,30.4,35.7,34.9,32.9,34.9,37.7,38.7,47.7,58.0,58.1,59.6,66.3,61.1
14,,,,,,,,,,,,,,,,,,,,,,,,7.7
15,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,
16,4.1,5.1,,5.4,4.0,,,,,,,,,,,,,,6.1,5.6,6.7,6.1,9.0,10.9
17,,,,,,,,,,,,,,,,,0.0,,,,,,,
18,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,
19,,,,,,,,0.0,0.0,,,4.6,,,5.7,,,,,4.1,5.3,4.1,6.4,9.0
20,,,,,,,,,0.0,,,,,,,,,,,,,4.3,5.9,6.4
21,,,,,,,,,4.1,,,,,,,,,4.6,4.7,4.6,,6.7,6.0,
22,,9.0,9.4,4.9,4.1,4.4,5.2,5.4,6.3,6.8,9.7,12.0,13.6,11.4,6.7,,8.1,8.0,7.0,9.9,11.6,11.7,21.7,22.9
23,28.4,13.4,19.3,16.8,8.6,13.6,12.4,17.0,15.0,15.1,15.4,14.4,13.9,20.0,19.1,23.7,32.1,34.0,30.1,40.4,43.9,54.4,57.9,59.0
24,6.9,5.6,5.6,6.7,4.7,6.6,4.7,4.6,,,,4.6,,,,6.0,4.7,10.9,7.3,6.9,5.9,4.1,6.3,4.1
25,,,,,,,,,,,,,,,,,,4.4,,,,4.7,4.9,11.1
26,7.1,6.4,4.7,,,,,,,,4.3,,,,4.9,5.3,4.2,,4.6,8.0,6.7,6.2,9.8,9.0
27,,,,,,,,,,,4.3,5.4,4.1,,,,,,,,4.9,5.7,7.6,10.9
28,,,,,,,,,,,,,,,,,,,,,,,4.7,4.2
29,14.7,11.1,8.1,6.9,,4.0,4.3,4.0,8.1,4.6,,,4.7,6.1,5.9,5.6,,4.3,4.0,7.6,6.6,8.1,13.7,12.4
30,22.0,16.1,11.4,12.7,11.1,9.3,6.3,7.7,4.3,,5.0,,,7.0,15.7,15.1,20.6,22.3,27.1,30.2,23.0,17.6,23.6,22.6
31,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,4.4,6.4,8.0,7.4,5.7
32,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,5.0,9.6,5.1,5.3,6.3,8.9,8.6
33,4.4,,,,,,,,,0.0,,0.0,,,0.0,,,,4.7,4.0,,,9.0,11.9
34,6.4,6.3,5.9,,,,,,,,,,,,,4.2,4.9,7.8,11.1,8.7,8.6,5.1,5.8,11.4
35,40.2,29.4,27.5,24.4,31.2,27.0,18.9,18.6,19.9,12.4,16.2,14.4,19.6,21.0,27.7,28.5,28.9,37.1,47.4,56.5,63.1,73.3,73.5,69.3
36,31.3,30.3,24.7,18.9,14.1,13.3,12.9,12.4,11.4,7.6,7.3,10.9,19.1,17.7,19.7,27.6,39.9,56.9,53.3,50.0,58.7,63.4,57.3,47.7
37,,,,,,,,,,,,,,,,,5.3,8.6,9.3,9.9,9.6,8.0,7.3,7.7
38,,,,,,,0.0,,,,,,,,,,4.3,4.7,,4.4,5.1,6.7,9.3,11.0
39,,,,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,4.3,4.7,4.0,,,,
40,6.0,,,,,0.0,,,6.9,8.7,5.9,5.0,4.9,,,4.9,,,4.9,4.7,,7.6,9.9,7.3
41,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
42,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,56.9,54.6,51.3,51.0,49.4,42.9,34.4,40.0,41.3,36.6,34.6,36.0,39.0,36.7,42.9,39.7,40.1,36.6,40.9,47.3,61.4,72.7,104.4,108.3
45,43.1,44.7,31.9,33.4,27.1,25.6,19.6,18.7,15.9,20.1,21.0,23.0,23.3,24.6,27.7,30.7,23.3,32.1,38.4,39.7,41.7,50.7,51.6,52.1
46,,5.1,5.3,,,4.0,,,,,,,4.4,4.6,,,,4.9,6.6,14.3,19.0,18.7,15.4,17.9
47,40.0,48.1,40.3,37.4,30.0,27.9,25.6,25.9,18.7,11.1,18.3,16.4,17.3,24.1,32.1,41.0,43.4,51.6,63.9,64.4,70.6,77.6,71.0,80.4
48,42.9,38.3,41.3,33.4,29.0,27.0,24.1,23.3,20.4,26.3,23.1,25.4,28.3,30.6,33.7,35.5,34.7,50.3,64.3,76.0,81.3,89.7,95.9,102.4
49,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
50,24.7,34.9,36.7,29.0,26.4,24.0,18.9,15.0,17.4,21.0,19.0,21.0,23.0,29.4,31.6,33.9,34.7,46.4,52.9,55.4,60.1,69.0,60.0,70.6
51,119.4,102.1,85.0,73.0,61.9,64.0,61.9,65.7,61.9,61.0,64.0,76.9,72.9,76.6,85.9,93.0,94.6,118.0,143.1,170.9,187.0,202.9,210.7,197.7
52,,,,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
